## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates --INPUT bams/SRR12983959.sorted.bam --OUTPUT bams/SRR12983959.sorted.markdup.bam --METRICS_FILE stats/SRR12983959.metrics.txt --MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP 50000 --MAX_FILE_HANDLES_FOR_READ_ENDS_MAP 8000 --SORTING_COLLECTION_SIZE_RATIO 0.25 --TAG_DUPLICATE_SET_MEMBERS false --REMOVE_SEQUENCING_DUPLICATES false --TAGGING_POLICY DontTag --CLEAR_DT true --DUPLEX_UMI false --ADD_PG_TAG_TO_READS true --REMOVE_DUPLICATES false --ASSUME_SORTED false --DUPLICATE_SCORING_STRATEGY SUM_OF_BASE_QUALITIES --PROGRAM_RECORD_ID MarkDuplicates --PROGRAM_GROUP_NAME MarkDuplicates --READ_NAME_REGEX <optimized capture of last three ':' separated fields as numeric values> --OPTICAL_DUPLICATE_PIXEL_DISTANCE 100 --MAX_OPTICAL_DUPLICATE_SET_SIZE 300000 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Feb 09 20:12:26 EST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
lib1	590	340117	7862	9020	577	132411	0	0.38982	314003

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1.0	1	151252	151252
2.0	1.338522	30598	30598
3.0	1.453119	11419	11419
4.0	1.491913	5464	5464
5.0	1.505046	2922	2922
6.0	1.509491	1764	1764
7.0	1.510996	1179	1179
8.0	1.511506	780	780
9.0	1.511678	533	533
10.0	1.511737	391	391
11.0	1.511757	268	268
12.0	1.511763	224	224
13.0	1.511765	154	154
14.0	1.511766	104	104
15.0	1.511766	117	117
16.0	1.511767	94	94
17.0	1.511767	77	77
18.0	1.511767	60	60
19.0	1.511767	27	27
20.0	1.511767	36	36
21.0	1.511767	28	28
22.0	1.511767	25	25
23.0	1.511767	18	18
24.0	1.511767	19	19
25.0	1.511767	23	23
26.0	1.511767	20	20
27.0	1.511767	9	9
28.0	1.511767	12	12
29.0	1.511767	10	10
30.0	1.511767	12	12
31.0	1.511767	3	3
32.0	1.511767	5	5
33.0	1.511767	5	5
34.0	1.511767	4	4
35.0	1.511767	4	4
36.0	1.511767	5	5
37.0	1.511767	5	5
38.0	1.511767	4	4
39.0	1.511767	1	1
40.0	1.511767	1	1
41.0	1.511767	4	4
42.0	1.511767	2	2
43.0	1.511767	1	1
44.0	1.511767	3	3
45.0	1.511767	3	3
46.0	1.511767	1	1
47.0	1.511767	0	0
48.0	1.511767	2	2
49.0	1.511767	1	1
50.0	1.511767	0	0
51.0	1.511767	1	1
52.0	1.511767	1	1
53.0	1.511767	0	0
54.0	1.511767	0	0
55.0	1.511767	0	0
56.0	1.511767	2	2
57.0	1.511767	0	0
58.0	1.511767	0	0
59.0	1.511767	1	1
60.0	1.511767	2	2
61.0	1.511767	0	0
62.0	1.511767	0	0
63.0	1.511767	1	1
64.0	1.511767	1	1
65.0	1.511767	1	1
66.0	1.511767	0	0
67.0	1.511767	1	1
68.0	1.511767	0	0
69.0	1.511767	0	0
70.0	1.511767	0	0
71.0	1.511767	1	1
72.0	1.511767	0	0
73.0	1.511767	0	0
74.0	1.511767	0	0
75.0	1.511767	0	0
76.0	1.511767	0	0
77.0	1.511767	0	0
78.0	1.511767	0	0
79.0	1.511767	0	0
80.0	1.511767	0	0
81.0	1.511767	0	0
82.0	1.511767	0	0
83.0	1.511767	0	0
84.0	1.511767	0	0
85.0	1.511767	0	0
86.0	1.511767	0	0
87.0	1.511767	0	0
88.0	1.511767	0	0
89.0	1.511767	0	0
90.0	1.511767	0	0
91.0	1.511767	0	0
92.0	1.511767	1	1
93.0	1.511767	0	0
94.0	1.511767	0	0
95.0	1.511767	0	0
96.0	1.511767	0	0
97.0	1.511767	0	0
98.0	1.511767	0	0
99.0	1.511767	0	0
100.0	1.511767	0	0

